path,twrp_blob,orangefox_initial_blob,orangefox_port_blob,classification,reason
.gitattributes,ec6728d99204bfb10f93d3ffc9102a0660fda78d,7353614049aded9dc1389f7336bd97568ae30b9a,9f3a003b9329ef953c9b6b23604581e4362d7c9a,fusión manual,Integración del conocimiento de hardware TWRP y semántica OrangeFox; ver PORT_STATUS.md
.github/patches/cli-result.patch,ab7a12ddbdd398bf6fbb3b6cf10f8929a2be6bc6,,dae38c84ef812521e189c63ebd8c875a66fb1e70,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/image-size-preflight.patch,f7bca2c7d902acb9bdcf48e5d6083776774087a0,,989443f40431074487e35ad338901d1a4a59c4f6,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/image-target-message.patch,7bbc594f0b451b3381ceb6200f6d1d6b85c61790,,4527cc6bee142a4d547fb57b69eb8d287305ba1b,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/late-cpu-sensor.patch,200a1f17ef3b2b934ce0deda1b8271d1ff95a7aa,,4d46efa1dd5091b4e3286c9e34215f98821859c0,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/logical-image-flash.patch,fcfc6802815fe1c1c7de186732f9378eb7e33057,,6edb72c1b3a0ff53f968b9333fe9e9a660ed9b98,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/nx733j-haptics.patch,413405ab6f54481031caabbd9ef706587694ccdf,,dc03a92b1ec26ba2ce4f1d2002dd862483d67085,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/nx733j-super-protection.patch,,,ee02ae27a5d1146b6b17955c8cfe76b44b81aed3,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/series,,,adcbb898459ec9fd1e3398e6f38489d0296bcee6,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/patches/twrp-flags-columns.patch,399d82d1f130fd33dbc5002767afe6b0fe7a9f34,,35cae96df379b5a6cdee3da022113f2fddf131e7,port semántico,Adaptación al source OrangeFox fijado; ver PORT_STATUS.md
.github/recovery-revision,,,49baf50bc2c040342cbd0d745aba6d06b382328b,CI/herramienta,Validación OrangeFox del commit exacto y artefactos
.github/sync-revision,,,823a6b683343be83a7cdf0ddcce8faf0daf9727d,CI/herramienta,Validación OrangeFox del commit exacto y artefactos
.github/tests/test-artifact-validation.py,,,3072d86774d5c64387a199944992ad9a961bfa09,integración OrangeFox,Herramienta o configuración propia del port; ver PORT_STATUS.md
.github/tests/test-cli-result.py,12603a4e2c9b768e79263d04e0e7526ed7c3f711,,7db6fa6a2be79a682a764ee4c1420a9980028cdf,test adaptado,Se conserva comportamiento simulado con APIs OrangeFox
.github/tests/test-cpu-discovery.py,73d3886e115c1a68688956012b770b7e909f3c2d,,1532af304715a42c777fe2ec7eb345f9656b73b6,test adaptado,Se conserva comportamiento simulado con APIs OrangeFox
.github/tests/test-device-tree.py,,,2f4b0d067575ebed4f1f99181b9d678224a239f4,test adaptado,Se conserva comportamiento simulado con APIs OrangeFox
.github/tests/test-flags-parser.py,,,8545d439c78b4bab0d3223b2d96dac519aaff3b8,test adaptado,Se conserva comportamiento simulado con APIs OrangeFox
.github/tests/test-image-preflight.py,cabff57a7258020f77ace10aaec9cf304a6c0b15,,3fd5d1313bcbc9e310e7facc3008abddb24f58af,test adaptado,Se conserva comportamiento simulado con APIs OrangeFox
.github/tests/test-late-cpu-sensor.py,b3b46bc2e764900e5e5d8966a6ec85a0021ae752,,b3b46bc2e764900e5e5d8966a6ec85a0021ae752,migrado de TWRP,Identidad de blob Git con la referencia TWRP
.github/tests/test-logical-image.py,41a6a30f68ad0569fc7399a6e88134a4eda8a6cb,,cd7e89c0f0275bf7611d65fe8ef34c3fc037ecca,test adaptado,Se conserva comportamiento simulado con APIs OrangeFox
.github/vendor-revision,,,63f659d0e11f65cf3b2283f72e7aaefd9b1051c9,CI/herramienta,Validación OrangeFox del commit exacto y artefactos
.github/workflows/build-validation.yml,ff5803e4348bfb2843568c420a437a8ef220b6b0,,,excluido,"Producto/build TWRP, branding runtime sustituido por TW_DEVICE_VERSION, o configuración crDroid fuera del producto OrangeFox"
